Field Station,Data Collection Site,Latitude,Longitude,Date,Time,Tide,Quadrat,Species Name,Species Code,Canopy cover (0-25),Substrate Cover,# per quadrat
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,21,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,24,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,27,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,0,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,3,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,6,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,9,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,12,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,15,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,18,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,21,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,24,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,27,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,0,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,3,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,6,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,9,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,12,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,15,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,18,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,21,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,24,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,27,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,0,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,3,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,6,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,9,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,12,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,15,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,18,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,21,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,24,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,27,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,0,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,3,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,6,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,9,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,12,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,15,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,18,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,21,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,24,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,27,Northern sea star (Asterias vulgaris),Astvul,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,0,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,3,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,6,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,9,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,12,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,15,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,18,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,21,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,24,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,27,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,0,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,3,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,6,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,9,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,12,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,15,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,18,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,21,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,24,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,27,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,0,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,3,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,6,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,9,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,12,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,15,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,18,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,21,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,24,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,27,Green Crab (Carnicus maenas),CarmaeTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,0,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,3,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,6,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,9,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,12,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,15,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,18,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,21,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,24,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,27,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,0,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,3,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,6,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,9,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,12,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,15,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,18,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,21,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,24,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,27,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,0,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,3,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,6,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,9,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,12,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,15,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,18,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,21,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,24,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,27,Green Crab (female),CarmaeFem,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,0,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,3,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,6,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,9,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,12,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,15,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,18,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,21,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,24,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,27,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,0,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,3,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,6,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,9,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,12,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,15,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,18,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,21,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,24,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,27,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,0,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,3,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,6,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,9,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,12,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,15,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,18,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,21,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,24,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,27,Green Crab (male),CarmaeMale,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,0,Jonah Crab (Cancer borealis),CanborTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,3,Jonah Crab (Cancer borealis),CanborTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,6,Jonah Crab (Cancer borealis),CanborTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,9,Jonah Crab (Cancer borealis),CanborTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,12,Jonah Crab (Cancer borealis),CanborTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,15,Jonah Crab (Cancer borealis),CanborTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,18,Jonah Crab (Cancer borealis),CanborTot,,,0
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,21,Jonah Crab (Cancer borealis),CanborTot,,,0
